pořadí,tým,z,v,p,úspěšnost,vstřeleno,obdrženo,rozdíl,doma,venku,DV,DP,DV(%),VV,VP,VV(%)
1.,BK Opava,7,6,1,85.7,652,570,82,2,5,2,0,100%,4,1,80%
2.,ERA Basketball Nymburk,7,5,2,71.4,661,471,190,4,3,3,1,75%,2,1,66.7%
3.,USK Praha,6,4,2,66.7,450,438,12,4,2,3,1,75%,1,1,50%
4.,SLUNETA Ústí nad Labem,7,4,3,57.1,630,587,43,4,3,2,2,50%,2,1,66.7%
5.,BC GEOSAN Kolín,7,4,3,57.1,552,547,5,5,2,3,2,60%,1,1,50%
6.,BK KVIS Pardubice,6,3,3,50.0,510,533,-23,3,3,2,1,66.7%,1,2,33.3%
7.,Sršni Photomate Písek,4,2,2,50.0,370,412,-42,2,2,1,1,50%,1,1,50%
8.,BK ARMEX Děčín,7,3,4,42.9,627,598,29,4,3,2,2,50%,1,2,33.3%
9.,BK REDSTONE Olomoucko,7,3,4,42.9,564,631,-67,4,3,2,2,50%,1,2,33.3%
10.,Basket Brno,6,2,4,33.3,443,485,-42,1,5,1,0,100%,1,4,20%
11.,SK Slavia Praha,6,2,4,33.3,482,566,-84,3,3,2,1,66.7%,0,3,0%
12.,NH Ostrava,6,0,6,0.0,439,542,-103,2,4,0,2,0%,0,4,0%